,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
6,58655.23675,g,20.145,,limit,,
29,58600.21312,g,20.481,,limit,,
32,58596.22782,g,20.511,,limit,,
35,58592.20264,g,18.983,,limit,,
42,58580.25539,g,20.676,,limit,,
