,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,58503.167257,g,17.976,0.082,positive,,
6,58491.163403,g,17.782,0.069,positive,,
8,58487.17228,g,17.528,0.065,positive,,
10,58481.268067,g,17.213,0.049,positive,,
12,58474.121771,g,17.077,0.046,positive,,
14,58469.169213,g,16.865,0.039,positive,,
15,58466.276979,g,16.589,0.095,positive,,
18,58462.260151,g,16.252,0.043,positive,,
