,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
397,58873.284711,r,18.976,0.096,positive,,
401,58871.526099,r,19.014,0.12,positive,,
402,58871.524271,r,18.971,0.101,positive,,
403,58871.513808,r,18.907,0.088,positive,,
404,58871.513356,r,19.011,0.128,positive,,
405,58871.512454,r,19.122,0.123,positive,,
411,58867.49544,r,18.947,0.099,positive,,
412,58867.473287,r,18.894,0.079,positive,,
416,58866.519271,r,18.952,0.098,positive,,
419,58864.331863,r,18.906,0.093,positive,,
423,58862.409768,r,18.939,0.124,positive,,
424,58862.381169,r,18.855,0.095,positive,,
425,58861.554028,r,18.695,0.109,positive,,
427,58860.312627,r,18.648,0.124,positive,,
428,58860.311724,r,18.869,0.165,positive,,
431,58859.487176,r,18.92,0.12,positive,,
432,58859.47316,r,18.837,0.104,positive,,
433,58859.451296,r,18.829,0.126,positive,,
434,58859.373634,r,18.872,0.131,positive,,
435,58859.37272,r,18.947,0.177,positive,,
436,58859.308796,r,18.863,0.179,positive,,
437,58859.284398,r,18.849,0.228,positive,,
438,58855.558438,r,18.788,0.089,positive,,
439,58855.557083,r,18.691,0.072,positive,,
440,58855.556157,r,18.735,0.092,positive,,
441,58855.554803,r,18.776,0.092,positive,,
448,58852.555278,r,18.688,0.076,positive,,
449,58852.553437,r,18.694,0.071,positive,,
450,58852.552986,r,18.68,0.064,positive,,
451,58852.550729,r,18.677,0.078,positive,,
461,58849.442789,r,18.646,0.078,positive,,
462,58846.577257,r,18.67,0.087,positive,,
465,58846.468981,r,18.603,0.07,positive,,
466,58838.51662,r,18.497,0.137,positive,,
473,58836.508889,r,18.413,0.089,positive,,
474,58836.507488,r,18.474,0.074,positive,,
475,58836.48309,r,18.432,0.075,positive,,
476,58835.475046,r,18.395,0.13,positive,,
482,58833.497824,r,18.315,0.115,positive,,
483,58833.491319,r,18.403,0.121,positive,,
484,58833.490845,r,18.406,0.181,positive,,
485,58833.490393,r,18.39,0.14,positive,,
486,58833.447419,r,18.432,0.152,positive,,
487,58833.446968,r,18.47,0.123,positive,,
489,58831.448287,r,18.439,0.248,positive,,
492,58830.45544,r,18.368,0.072,positive,,
494,58828.425833,r,18.349,0.082,positive,,
495,58827.442546,r,18.314,0.134,positive,,
496,58827.442095,r,18.199,0.136,positive,,
501,58812.55809,r,18.1,0.063,positive,,
502,58812.557639,r,18.164,0.069,positive,,
503,58812.557141,r,18.101,0.068,positive,,
504,58812.55669,r,18.122,0.068,positive,,
509,58804.528368,r,18.023,0.073,positive,,
514,58799.492963,r,17.837,0.08,positive,,
515,58799.492512,r,17.971,0.078,positive,,
516,58799.491563,r,17.921,0.061,positive,,
517,58799.491111,r,17.912,0.083,positive,,
524,58792.514375,r,17.844,0.059,positive,,
525,58792.513924,r,17.826,0.091,positive,,
528,58792.513438,r,17.844,0.073,positive,,
529,58792.48566,r,17.881,0.074,positive,,
536,58785.508912,r,17.759,0.068,positive,,
537,58785.508461,r,17.709,0.053,positive,,
540,58776.511644,r,17.59,0.055,positive,,
541,58776.511192,r,17.568,0.07,positive,,
543,58726.144722,r,16.971,0.067,positive,,
548,58709.189664,r,16.787,0.054,positive,,
549,58708.190058,r,17.153,0.084,positive,,
551,58707.188692,r,16.747,0.05,positive,,
553,58706.190012,r,16.75,0.05,positive,,
555,58705.189259,r,16.726,0.058,positive,,
556,58701.163102,r,16.682,0.048,positive,,
561,58694.181748,r,16.606,0.051,positive,,
567,58692.181505,r,16.609,0.05,positive,,
573,58690.175833,r,16.581,0.043,positive,,
574,58689.183958,r,16.482,0.039,positive,,
579,58684.231377,r,16.547,0.041,positive,,
581,58683.241157,r,16.507,0.04,positive,,
582,58683.240671,r,16.52,0.049,positive,,
583,58683.212951,r,16.498,0.048,positive,,
584,58683.212454,r,16.501,0.039,positive,,
586,58682.247396,r,16.5,0.03,positive,,
587,58680.245532,r,16.468,0.036,positive,,
589,58679.217917,r,16.448,0.034,positive,,
591,58677.198044,r,16.463,0.04,positive,,
593,58676.204329,r,16.433,0.033,positive,,
594,58676.202917,r,16.442,0.043,positive,,
595,58676.198345,r,16.435,0.032,positive,,
599,58674.217523,r,16.423,0.035,positive,,
602,58673.203993,r,16.396,0.042,positive,,
603,58673.19941,r,16.417,0.036,positive,,
607,58671.200451,r,16.324,0.051,positive,,
608,58670.308414,r,16.397,0.042,positive,,
612,58670.180544,r,16.392,0.032,positive,,
613,58670.180093,r,16.365,0.028,positive,,
615,58668.186597,r,16.385,0.037,positive,,
616,58667.224526,r,16.34,0.035,positive,,
620,58665.26735,r,16.364,0.039,positive,,
625,58661.205787,r,16.266,0.035,positive,,
626,58661.204896,r,16.271,0.029,positive,,
627,58661.204433,r,16.287,0.035,positive,,
635,58655.17787,r,16.242,0.032,positive,,
636,58655.177396,r,16.224,0.036,positive,,
639,58654.226204,r,16.215,0.046,positive,,
640,58654.198137,r,16.218,0.028,positive,,
641,58652.278588,r,16.165,0.04,positive,,
642,58652.278102,r,16.246,0.032,positive,,
643,58651.259792,r,16.22,0.049,positive,,
644,58651.240162,r,16.2,0.035,positive,,
647,58649.237812,r,16.16,0.033,positive,,
648,58649.237326,r,16.194,0.048,positive,,
651,58648.215382,r,16.164,0.045,positive,,
652,58648.205428,r,16.157,0.03,positive,,
655,58646.221794,r,16.166,0.036,positive,,
656,58646.221308,r,16.201,0.045,positive,,
661,58643.241563,r,16.121,0.027,positive,,
663,58642.259201,r,16.111,0.032,positive,,
664,58642.237465,r,16.103,0.026,positive,,
665,58642.219653,r,16.094,0.03,positive,,
669,58640.227523,r,16.114,0.037,positive,,
671,58639.281458,r,16.097,0.041,positive,,
675,58639.187407,r,16.11,0.024,positive,,
677,58637.200648,r,16.073,0.029,positive,,
682,58633.306586,r,16.031,0.039,positive,,
686,58633.193322,r,16.014,0.032,positive,,
687,58633.192847,r,16.0,0.038,positive,,
688,58628.321933,r,15.984,0.032,positive,,
697,58619.200926,r,15.902,0.038,positive,,
698,58619.200475,r,15.913,0.032,positive,,
699,58619.198634,r,15.898,0.033,positive,,
700,58618.204826,r,15.882,0.028,positive,,
704,58616.180266,r,15.872,0.032,positive,,
705,58616.176817,r,15.877,0.032,positive,,
706,58616.163646,r,15.904,0.03,positive,,
707,58616.160845,r,15.876,0.042,positive,,
710,58612.220116,r,15.858,0.033,positive,,
711,58612.219664,r,15.835,0.03,positive,,
712,58612.218762,r,15.831,0.027,positive,,
713,58612.217407,r,15.86,0.031,positive,,
718,58608.261111,r,15.783,0.029,positive,,
723,58606.237037,r,15.773,0.025,positive,,
724,58606.229363,r,15.809,0.032,positive,,
725,58606.228438,r,15.803,0.034,positive,,
727,58606.191806,r,15.813,0.025,positive,,
728,58602.279479,r,15.789,0.027,positive,,
734,58599.164132,r,15.747,0.029,positive,,
735,58597.343715,r,15.707,0.029,positive,,
736,58597.317963,r,15.712,0.039,positive,,
741,58594.344282,r,15.685,0.028,positive,,
742,58594.343808,r,15.699,0.026,positive,,
745,58593.287257,r,15.658,0.021,positive,,
746,58592.28956,r,15.629,0.03,positive,,
747,58592.266111,r,15.714,0.03,positive,,
748,58592.261053,r,15.668,0.033,positive,,
751,58591.41485,r,15.662,0.027,positive,,
752,58591.361713,r,15.742,0.029,positive,,
756,58589.267326,r,15.659,0.025,positive,,
757,58589.214931,r,15.761,0.034,positive,,
758,58589.209826,r,15.686,0.039,positive,,
762,58587.282662,r,15.625,0.027,positive,,
763,58587.265301,r,15.635,0.03,positive,,
