,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
298,59372.186782,r,19.478,,limit,,
299,59370.264607,r,20.503,,limit,,
301,59368.218727,r,20.617,,limit,,
304,59366.195891,r,20.622,,limit,,
305,59364.309329,r,20.195,,limit,,
306,59362.242963,r,20.26,,limit,,
309,59359.220127,r,19.589,,limit,,
310,59356.261053,r,19.89,,limit,,
313,59354.239977,r,19.852,,limit,,
314,59350.259896,r,20.389,,limit,,
316,59348.202338,r,20.814,,limit,,
318,59346.282882,r,20.776,,limit,,
320,59344.241065,r,20.889,,limit,,
322,59342.27978,r,20.575,,limit,,
323,59340.301505,r,20.751,,limit,,
326,59338.261898,r,20.702,,limit,,
327,59335.309167,r,19.477,,limit,,
332,59329.247176,r,19.664,,limit,,
334,59325.260741,r,20.239,,limit,,
335,59323.322222,r,20.548,,limit,,
337,59321.301412,r,20.882,,limit,,
341,59317.198773,r,20.764,,limit,,
343,59315.261991,r,19.271,,limit,,
345,59313.218808,r,20.711,,limit,,
346,59311.30647,r,20.888,,limit,,
348,59309.238241,r,19.609,,limit,,
351,59307.23522,r,20.752,,limit,,
352,59304.297257,r,19.735,,limit,,
355,59302.262234,r,19.439,,limit,,
357,59297.268194,r,19.699,,limit,,
360,59292.362431,r,20.831,,limit,,
362,59290.350162,r,20.785,,limit,,
364,59278.430856,r,20.283,,limit,,
367,59273.450694,r,18.988,,limit,,
369,59271.299109,r,19.426,,limit,,
371,59269.33794,r,20.15,,limit,,
372,59267.320382,r,19.918,,limit,,
374,59265.371181,r,20.689,,limit,,
377,59260.412014,r,19.686,,limit,,
381,59252.322118,r,20.8,,limit,,
382,59250.381597,r,20.509,,limit,,
385,59248.454595,r,20.418,,limit,,
386,59248.45459,r,20.418,,limit,,
387,59231.48962,r,20.879,,limit,,
389,59229.43049,r,19.798,,limit,,
391,59227.39447,r,19.696,,limit,,
393,59225.40839,r,20.213,,limit,,
394,59223.47321,r,20.314,,limit,,
397,59221.45465,r,20.015,,limit,,
398,59219.47314,r,20.316,,limit,,
401,59217.39152,r,19.83,,limit,,
403,59215.47676,r,19.418,,limit,,
405,59206.48712,r,19.216,,limit,,
407,59203.50595,r,20.214,,limit,,
408,59200.53022,r,19.826,,limit,,
411,59198.49222,r,20.362,,limit,,
413,59194.49662,r,20.495,,limit,,
414,59192.50789,r,18.548,,limit,,
416,59189.47561,r,19.981,,limit,,
418,59187.4959,r,19.226,,limit,,
421,59182.496,r,19.653,,limit,,
422,59179.53177,r,20.522,,limit,,
424,59176.55924,r,19.818,,limit,,
426,59173.52681,r,19.724,,limit,,
428,59170.55348,r,20.148,,limit,,
430,59168.53156,r,20.343,,limit,,
433,59165.47378,r,20.324,,limit,,
434,59159.49584,r,19.802,,limit,,
436,59157.49791,r,19.572,,limit,,
438,59155.49084,r,19.635,,limit,,
440,59152.49122,r,19.225,,limit,,
448,59019.21624,r,20.694,,limit,,
449,59015.22509,r,20.306,,limit,,
450,59012.23745,r,20.802,,limit,,
452,59009.17469,r,20.227,,limit,,
453,59004.23726,r,19.889,,limit,,
456,58997.24669,r,20.65,,limit,,
459,58994.19466,r,20.753,,limit,,
460,58991.22245,r,20.834,,limit,,
463,58980.257,r,20.878,,limit,,
465,58977.2149,r,17.218,,limit,,
