,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
35,60021.218843,r,16.397,,limit,,
43,59985.245613,r,19.8,,limit,,
45,59983.353982,r,19.05,,limit,,
47,59977.297813,r,19.708,,limit,,
49,59971.344838,r,20.395,,limit,,
50,59968.364768,r,20.294,,limit,,
53,59965.341563,r,19.516,,limit,,
