,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,58714.22024,g,19.635,,limit,,
3,58708.15028,g,19.5,,limit,,
4,58705.24736,g,19.173,,limit,,
6,58698.19215,g,16.426,,limit,,
12,58680.16814,g,19.051,,limit,,
13,58677.32468,g,18.929,,limit,,
24,58650.2097,g,19.12,,limit,,
54,58557.45954,g,20.033,,limit,,
62,58493.54821,g,20.439,,limit,,
